geneNID,variantNID
20167,169359
3285,169361
5241,169477
5241,169481
5241,169491
2785,169529
4563,169599
11867,169609
449,169611
12127,169657
14525,169671
2329,169713
2329,169715
4159,13561
2013,13585
2189,13599
10207,13613
3013,13615
1395,169723
7137,169723
1395,169725
7137,169725
2759,169733
19,169735
831,169755
2723,169759
6007,169837
5421,169847
10241,169851
10311,169853
8021,169861
377,169867
16857,169869
8753,169875
8513,169877
7005,169881
1199,169883
8661,169885
15369,169889
4323,169939
2759,170085
3123,170103
3123,170105
3123,170107
3123,170109
3123,170111
2975,170125
5149,170405
3183,170409
3183,170411
3183,170413
3183,170415
3183,170417
4559,170433
22255,170433
2785,170521
2785,170523
2785,170525
4249,170529
4249,170531
14525,170593
14953,170595
2135,170603
2135,170605
2135,170607
2135,170609
2135,170613
2135,170615
2135,170617
2135,170619
6135,170635
16047,170645
21057,170645
4853,170649
7871,170799
7871,170801
2227,170803
4487,170809
2257,13635
1621,13641
1953,13643
2457,13647
9879,13647
2257,13651
4441,13667
8035,13667
8263,13675
5233,13685
5455,13699
3839,13705
6687,13709
1395,170833
1395,170835
1395,170837
1395,170839
1395,170841
1395,170843
1395,170845
1395,170847
1395,170849
7137,170849
1395,170851
1395,170853
7137,170853
1395,170855
1395,170857
7137,170857
1395,170859
1395,170861
7137,170861
1395,170863
7137,170863
14113,170887
8617,170909
8617,170911
9345,170931
355,170949
3183,170979
2135,171011
1047,171017
2135,171041
4137,171075
2135,171093
3123,171101
3183,171127
13749,171157
5327,171161
13563,171163
3123,171175
2135,171181
2135,171183
2135,171221
423,171223
3123,171225
1115,171241
4833,171243
1831,171245
16081,171279
16081,171281
5977,171283
8211,66991
5177,13729
2237,13737
13071,66995
17907,66997
16393,929
4855,66999
11201,13749
12267,67019
22155,67029
11315,67037
5433,67041
4295,67043
9065,67047
373,67051
13657,67063
21983,67083
16535,67093
20803,67117
6593,67119
5847,67129
5143,67143
13561,13769
14013,67159
6281,67187
373,67203
67,13775
18043,13783
6809,13785
3771,67325
16535,67341
16535,67347
16535,67349
3811,67377
17473,13791
13753,67383
3573,67389
24411,67391
7679,13797
11681,67411
3283,67413
11595,67429
201,67433
11301,67443
11315,67455
11017,67457
12581,67479
6089,67483
3533,67491
16917,67507
6259,13813
1547,67527
10649,67553
12321,67557
8411,67565
2363,67567
12029,67603
20467,67621
12807,67627
14073,67633
14073,67635
14073,67637
14073,67639
6997,67641
2921,13837
4309,67653
8613,67661
18179,67663
3525,933
683,67677
10905,67679
7011,67695
11343,67709
2525,67717
10409,13843
2225,67755
6903,67773
9769,67775
13657,67811
8595,67821
12937,67821
10269,67845
4179,67867
6191,67873
10745,67925
13055,67959
14033,67963
8521,67969
21983,67973
7621,67999
13,68003
10693,68009
16535,68037
16535,68039
9707,68043
4025,68053
13547,68063
19157,68077
5727,68085
11665,68087
9875,68099
24417,68125
11569,68143
14849,68145
11681,68153
6969,68159
4115,68167
4185,68171
12599,68179
7027,68181
3677,68203
26109,68207
12603,68231
725,68237
5759,68255
13143,68257
19037,68257
5333,68275
7809,68277
9201,68283
13849,68295
23031,68299
4551,68301
8339,68317
16817,68325
2227,171299
13419,171335
13419,171337
483,171371
483,171409
6601,171641
4137,171661
12127,171685
6395,68355
1209,68357
11941,68367
18255,13871
17141,68387
4099,68391
16173,68393
11003,68423
6859,68427
10291,68447
6219,68463
6481,68463
6097,68471
7381,68481
17293,68491
13079,68503
12357,68509
17689,68525
1331,68541
18229,68541
9739,68545
11985,68553
13309,68589
4673,68617
7235,68619
12965,68619
7049,13875
2061,68653
14073,68689
14073,68691
14073,68693
14073,68695
14073,68697
14073,68699
14073,68701
14073,68703
14073,68705
14073,68707
3345,68731
8613,68753
8613,68755
13997,68757
10483,68759
4685,68761
683,68803
6397,68807
5383,68817
8867,68819
3987,68823
7011,68833
1221,68835
16529,68845
373,68857
373,68859
5733,68873
11029,68889
11749,68919
3069,68931
18115,68941
9083,68973
14755,68977
12231,68987
9083,68995
2225,68999
5743,69001
17461,69011
749,69017
749,69019
20867,69023
3519,69027
8285,69031
363,69047
20019,69057
14123,69063
837,69073
16857,69099
24857,69109
15097,69123
10631,69141
10631,69143
10633,69143
10635,69143
17473,69145
15825,69191
7789,69201
14771,69217
8745,69301
11217,69315
8853,939
5923,69333
7619,69335
2251,69365
5959,69373
9439,69377
3749,69411
10241,69415
13049,69425
13049,69427
18853,69447
7613,69449
15337,69461
11247,69463
4179,69479
10773,69497
3131,69505
1921,69555
14239,69597
8391,69601
12129,69609
13055,69615
12423,69627
14663,69635
701,69639
9879,69639
2457,69641
9879,69641
21983,69649
1021,69697
25787,69711
3771,69719
3771,69721
16475,69747
16535,69771
1299,69785
13547,69805
10959,69827
1543,13895
5727,69841
11665,69855
11909,69857
22155,69879
24405,69909
16445,69923
4947,69941
4499,69945
547,69953
11569,69971
14849,69973
6681,13903
14049,69991
10185,69993
10185,69995
6969,69999
14049,70001
7187,70005
14049,70011
14049,70013
11593,70035
13381,70043
13381,70045
201,70047
24403,70051
20803,70055
26109,70063
26109,70065
17419,70067
26109,70067
7185,70075
5749,70085
2697,70093
20209,70095
22957,70113
7565,70115
12603,70117
461,70121
14279,13909
16771,70131
22839,13913
11315,70145
11315,70149
13143,70155
15513,70159
15513,70161
8333,13919
4735,70193
4735,70195
13997,13925
12581,70217
15219,13933
5059,70227
23031,70235
3533,70255
8631,70273
4329,70279
2699,70283
10103,70285
4749,70287
6259,70293
6259,70295
5251,70299
2975,70305
7189,70309
861,70319
861,70321
861,70323
8063,70327
8063,70329
2609,70333
8363,70359
14951,70359
3943,70389
12251,70399
6809,70403
19503,70405
9145,70409
21061,70409
4649,13953
4239,70425
22839,70433
22839,70435
22839,70437
22839,70439
3433,70449
13013,70457
1209,70485
12075,70495
17963,70495
17121,70513
3319,70531
15421,70541
13205,70563
8537,13971
6707,13977
7063,70577
12931,70587
22221,70587
15873,70597
1909,13987
21353,13987
1939,106911
5415,106927
10409,13991
11627,70687
11201,70693
16703,70695
11295,70703
10581,13997
5143,70727
3051,70741
16551,14001
13207,70753
4431,70769
15727,70777
14843,107185
19275,70789
3479,70799
5939,70801
10005,70803
22343,107193
1495,70809
7703,107197
13631,70825
2751,70829
7583,70839
19775,107221
10631,14009
17217,70879
13935,70911
16385,107247
239,70927
16827,70937
6653,171717
5321,171763
1189,171829
4129,171837
4129,171839
1807,171843
1807,171845
243,171917
243,171919
243,171921
243,171923
243,171925
243,171927
243,171929
243,171931
243,171937
243,171941
243,171943
243,171945
243,171947
243,171949
243,171951
243,171953
243,171955
243,171957
243,171959
243,171961
243,171963
243,171965
243,171967
2135,172027
2135,172029
2135,172031
2135,172033
2135,172035
2135,172037
2135,172039
2135,172041
2135,172043
2135,172045
2135,172047
2135,172049
2135,172051
2135,172053
2135,172055
2135,172057
2135,172059
2135,172061
2135,172063
2135,172065
2135,172067
2135,172069
2135,172071
2135,172073
2135,172075
2135,172077
2135,172079
2135,172081
2135,172083
2135,172085
2135,172087
3183,172091
3183,172093
3183,172095
3183,172097
3183,172099
3183,172103
3183,172105
3183,172107
3183,172109
3183,172111
3183,172113
3183,172115
3183,172117
3183,172121
3183,172123
3183,172127
3183,172129
3183,172131
3183,172133
3183,172135
3183,172137
3183,172139
3183,172141
3183,172143
3183,172145
3183,172147
3183,172149
5965,172151
13771,107281
8485,70961
14953,107289
21559,70969
8181,70975
11915,70983
9425,70995
9425,70997
16551,70999
16551,71001
14801,71003
15297,71019
7745,71023
19775,71037
2909,107317
21017,71051
6225,71057
3119,71067
11147,71075
16781,71081
4701,107347
1331,71101
3963,71119
14873,107365
4273,71149
6691,107371
383,71153
8539,107381
8979,71177
14879,71179
10631,107391
10633,107391
10635,107391
16967,71187
9647,14027
4191,71205
4301,107409
16233,107425
10703,107429
8225,71227
11719,107439
16835,107441
13427,107449
21053,71263
9447,71265
9221,71273
11265,71281
7713,107467
12785,71285
6157,71287
17349,107469
10719,71299
8311,71301
8317,71305
8319,71317
10483,14031
14267,107477
16851,71345
12173,71363
6773,71375
15335,71391
10751,107523
11015,71405
12127,71407
12807,71417
8707,71419
9065,71423
14073,71437
14073,71439
14073,71441
14073,71443
14073,71445
14073,71447
14073,71449
14073,71451
14073,71453
14073,71455
8307,71481
5021,71499
3345,71517
6425,71547
20613,71547
8941,71549
8613,71551
8613,71553
8613,71555
21573,107571
18179,71561
4685,71573
18283,107587
4685,71575
5005,107593
10483,71593
17703,107603
8745,14053
9835,107607
267,107609
7859,107613
16723,71615
22879,71621
10785,107615
13287,71627
18071,71645
14545,71647
8867,71667
8039,14061
9639,957
7011,71705
4783,107655
1221,71717
11595,14065
16529,71723
16529,71725
16529,71727
443,71731
22757,14067
14245,107673
19119,14069
1591,71763
12315,107681
12057,107685
10767,14077
24403,14079
9883,71793
3607,71797
5775,71811
13559,71813
10863,71823
8145,107699
8223,107701
7367,71847
15623,107723
22839,107723
16737,71873
10811,107733
11799,71897
9241,71905
2937,107751
6681,71947
359,71975
525,14101
2021,14103
22959,107761
9887,107765
7713,107771
18841,107785
8125,107793
11867,107795
2149,107799
21983,107811
10563,107815
8469,107833
8193,107839
705,107843
3125,14153
13817,107849
10647,107851
12029,14159
535,107865
16715,14163
9971,107877
4593,107891
18587,107899
1313,107907
11809,107915
2005,107931
861,107933
5821,172163
13989,172167
555,172169
401,172171
8451,172191
8451,172193
8451,172195
8451,172197
8451,172203
4137,172309
4137,172311
4137,172313
4137,172315
4137,172317
4137,172319
4137,172321
4137,172327
4137,172329
4137,172331
4137,172333
4137,172335
4137,172337
5241,172341
5241,172343
5241,172345
5241,172349
5241,172361
5241,172363
4617,172381
243,172443
243,172445
243,172449
243,172451
481,172469
481,172471
481,172473
481,172475
481,172477
481,172479
481,172481
481,172483
829,172563
12031,172575
2759,172611
13775,172633
3073,172637
1543,172643
3249,172645
5965,172659
11867,172665
1523,172731
13147,172749
5833,107949
5269,14201
19879,107957
1519,72013
3139,14209
10017,107997
20993,107997
2253,14215
14315,72019
4827,108007
18655,14219
11569,108011
2925,72021
8719,108029
17463,108049
2917,72029
7139,108053
11935,14229
9069,72033
3277,108079
7745,14233
7481,72037
10039,172815
8631,172831
9013,172833
2329,172851
9345,172853
8631,172867
11567,172963
11567,172965
9811,172967
9811,172969
3859,172981
13231,172985
16309,172987
5723,172989
1189,173107
1189,173109
13657,108099
15003,108107
181,108109
14687,108117
5159,108121
103,14249
7241,14259
5167,108141
10881,108143
5143,108147
18283,108159
8363,72047
14463,108161
8113,14267
18569,72049
9389,108179
2131,14271
1319,108193
2457,14275
9879,14275
11737,14277
18621,108215
2237,72053
6281,108225
11247,108227
5839,108229
16529,72055
4413,108237
15181,108239
6419,14281
23373,108241
10045,108285
10045,108289
10045,108291
10045,108293
3897,108343
20481,108433
7065,108439
4097,72057
16835,108445
15831,108471
3271,14293
13251,108485
10797,108497
16731,108509
8307,108525
15285,108547
567,72071
8355,967
15965,108557
1583,14319
2397,108583
15075,14325
21043,14327
6727,108593
12437,14333
7833,108599
19941,108599
21439,72091
5009,108609
9897,72095
8423,108631
5141,72125
14525,72129
16835,108633
15775,108637
3839,14349
13279,72147
8057,14353
1957,108665
14073,72151
12227,108683
9629,108703
11141,108703
9041,14367
11209,108733
6857,108735
19223,14381
16457,108749
13049,72171
6831,72173
16431,72179
5739,14397
16335,108773
8513,108781
6917,108785
8535,108797
20947,72195
13869,108827
7977,72207
4279,108831
1875,14427
6657,72219
5241,72227
14363,72245
7967,72249
9347,72259
16629,108851
2743,108855
6899,72277
25907,72277
2637,72287
53,72293
2247,72297
1319,108879
12581,72325
2075,72329
3419,72331
2257,108887
2287,108887
7997,72339
4697,108889
11849,72347
5317,14451
18255,108895
2315,72359
871,72363
12231,108899
17473,72371
10631,72373
10633,72373
10635,72373
10657,72373
10001,173113
7265,108911
10631,72401
10633,72401
10635,72401
6145,72411
5147,72415
5433,72421
715,72431
3861,72439
3283,72443
15335,108929
16835,14463
6251,108939
3559,72481
3559,72483
5485,72495
705,72501
20971,72509
1221,72515
2599,72517
16849,72521
1177,72527
2909,72533
4695,72543
16835,72545
3911,14471
14073,72557
14351,72575
10737,14473
16853,173147
5167,14475
6955,108971
12149,108977
7497,72639
11407,72659
16851,72661
2127,108991
5063,72673
4615,173165
2253,72679
11577,72683
22053,14493
8311,72697
13061,14495
1009,72707
2735,72709
11083,109005
18841,109005
2081,72713
4185,72721
8609,72723
6281,72745
2855,173191
7455,14503
11661,72761
13381,72769
23727,109033
12581,72789
13259,72797
11327,72801
12581,72803
10413,173207
21049,173207
17357,72813
7721,173211
2275,109055
20971,72833
6273,72835
18157,72847
1117,109069
6963,72863
9383,109071
13179,109071
8535,109073
3017,72871
17813,979
13099,109081
3221,72903
5551,72903
1737,72905
21037,72905
1737,72913
21037,72913
12239,72921
861,72927
4037,72929
5235,109091
131,72931
2525,72933
11799,72935
10655,72939
16481,14511
8063,72945
8063,72947
6259,72955
861,72961
131,72963
8063,72979
861,72981
2273,109105
6259,72995
2651,73025
14337,109119
13099,73041
13769,73043
8063,73045
10655,73051
3197,73071
7715,73075
11817,109129
5923,109131
6263,109133
5945,73089
13253,73113
16891,14515
16715,73127
757,73129
14607,73143
527,109153
16715,73147
7715,73155
3149,73159
127,73167
20265,73171
1553,109157
2613,73217
8705,73227
15607,73241
22137,109177
10737,73257
14363,73271
8345,109187
1209,73289
8023,109191
12253,73309
7453,109197
8401,73329
13993,73333
12075,73341
14185,73341
17963,73341
2779,73347
2781,73347
3067,73351
19665,73351
20187,73351
8619,73355
13873,73365
12075,73369
14185,73369
13887,73371
13759,73379
4473,73381
12725,73381
17965,73383
9763,73389
5553,73391
1995,73401
12075,73411
14185,73411
13233,109215
14557,173301
7263,73431
6219,73441
6481,73441
3071,73453
3877,14565
17473,73471
4957,73481
20931,109229
14073,14569
14073,14571
14073,14573
14073,14575
14073,14577
14073,14579
14073,14581
14073,14583
14073,14585
14073,14587
14073,14589
14073,14591
14073,14593
14073,14595
10631,73489
10633,73489
14073,14597
14073,14599
14073,14601
14073,14603
14073,14605
14073,14609
2273,109235
19993,109239
16117,73523
8661,14611
18255,73527
7263,73557
9869,73561
17417,14613
3701,73563
17051,109309
18213,109309
10067,109311
10877,73593
10119,109321
10281,109323
12567,73597
1003,109325
3839,73609
9935,14617
5059,14625
5059,14629
9729,73633
15177,73635
4541,109351
4335,109353
1511,109355
7663,14633
6791,73671
20039,109357
21585,73673
4665,73683
10737,109365
13251,73685
2923,109367
12989,73691
15575,14639
9763,109375
12233,73705
17057,109381
9089,73725
12233,73731
12233,73739
4629,73747
12233,73751
19507,109401
5399,73783
15663,109413
4279,73789
1171,73801
18205,109419
9239,73817
1609,109427
14033,109429
12489,73829
15407,109433
8751,173369
12931,73869
973,109443
2167,73887
8313,109451
12931,73907
14395,109461
2159,73915
10751,73919
10751,73923
12931,73935
22221,73935
5963,73947
12931,73973
22221,73973
4599,109485
13427,73983
8895,109487
12931,73985
22221,73985
12931,73987
7799,73991
12931,73993
12931,74019
22221,74019
3491,14695
11651,109505
8011,109511
8251,74075
6893,109523
10579,74087
5013,109525
21353,74101
7455,109533
10119,109539
8745,74121
9425,74129
3419,109553
17259,74149
6135,173421
19883,109561
479,109563
17969,14705
13893,109567
13835,109573
7745,74191
7745,74213
2829,109589
17517,109599
25887,109613
13049,74259
7713,109615
1221,74265
14457,74279
9017,109625
13049,74301
21599,74311
5901,74315
5625,74321
10555,109635
15939,74339
765,74349
8297,109653
10863,74351
5729,14713
10181,74361
4185,109659
4155,74373
481,109669
17293,74377
453,109671
10181,74387
6135,173463
10181,74405
6541,74409
5857,109689
4219,109697
17301,74449
22045,74455
14543,109705
14861,109713
347,109719
6841,74477
8679,74477
14073,14727
489,109735
11015,74487
11029,74495
9425,109755
2923,109757
18229,74503
6903,74507
363,74529
6575,109775
527,109777
7455,109787
15111,74539
2405,74541
22293,74541
13769,109789
14631,74549
14347,173521
22153,74559
5557,109809
14529,74561
2009,74565
3247,109823
2759,109887
2759,109889
2759,109891
2759,109893
2759,109897
2759,109903
2759,109905
2759,109907
2759,109909
2759,109911
2759,109919
2759,109923
2759,109925
2759,109929
2759,109931
2759,109935
2759,109937
2759,109939
2759,109941
2759,109943
559,110061
11283,110117
11283,110119
17069,110157
13381,74577
6281,74585
13901,74591
1543,173545
1579,173557
441,74619
1579,173565
2135,173567
1055,173573
10553,173577
17885,74663
14073,14757
2149,74669
14923,74673
6259,74687
16817,74691
6259,74693
6259,74697
6259,74699
6259,74703
8333,74707
6259,74709
11799,74719
7451,74721
8063,74723
14945,74727
13001,74731
6259,74733
861,74735
8063,74739
6259,74743
7213,173601
3713,173603
1265,74775
6907,74779
14711,173611
8343,74795
4129,74797
121,74805
2801,74817
1209,74829
15513,14783
14923,14785
8059,14787
8059,14789
19899,14791
8619,74867
3319,74877
22187,74881
12581,991
2945,173655
7243,74889
10631,74903
10633,74903
10635,74903
9053,74915
12727,74947
2847,173671
10631,74991
10633,74991
10631,74997
10633,74997
10635,74997
3839,74999
17473,75003
5491,75007
7051,14801
15421,75025
11325,75031
17987,75033
4283,14803
4665,75043
15855,75055
4279,75073
16699,75077
451,75081
15207,75089
9077,75091
15855,75125
12501,77
14447,75155
7699,75181
16097,173739
9321,110363
6075,75241
543,75245
15281,75251
14353,75259
11365,75265
7993,75269
6249,173791
5923,75321
19283,173797
10797,75335
8827,75351
12655,75355
13049,75365
10243,75383
11229,14825
1533,173813
6343,75405
20071,75405
25755,75421
4179,75457
7935,993
7261,75483
19659,173865
1189,75501
11029,75519
1547,75525
6903,75533
11233,173889
9769,75573
949,173893
14073,75587
21383,75589
11455,75595
15439,14853
14073,75599
11287,14855
10929,75619
10017,75621
20993,75621
16857,75625
10017,75629
20993,75629
1261,173905
8415,75633
11603,75641
3729,75647
19869,14859
5143,75669
14073,75671
1037,79
8063,75687
16257,75691
4783,75703
10631,75717
9237,75727
18283,14871
949,173947
15725,75751
15097,75753
14073,75787
9083,75789
4879,75795
7065,75801
8023,75827
1185,75831
14673,75831
3853,14883
14073,75847
1629,75859
9935,75877
11863,75881
3607,75885
9855,75887
2899,75899
3839,75911
693,174049
14073,75941
13303,75943
5415,174063
6903,75989
8595,75995
719,75997
8285,75999
22803,76005
16835,76009
14923,14899
7501,76017
17463,76023
15125,76027
9155,76045
16835,76057
13207,76061
3791,76073
9083,76073
16835,76081
6239,76085
17131,76089
22677,76089
12293,76093
13909,76095
17141,76099
16835,76101
6535,76111
16835,76115
1185,14903
7533,76127
3791,76131
9083,76131
423,174093
7307,76147
2291,76155
10017,76161
20993,76161
7537,76163
12179,110599
12179,110601
7555,110657
7555,110659
18355,110719
63,110787
3249,110811
3245,110817
21665,110899
20943,110905
3827,110969
9155,76187
10663,76191
10023,76205
7137,1001
9727,1001
12119,76225
6259,76227
10703,76235
13249,76243
1007,81
22839,76253
3015,76255
3015,76257
3015,76259
22839,76267
3015,76269
4939,76271
22839,76275
22839,76277
22839,76279
22839,76283
8439,76287
2957,76289
4559,76293
22255,76293
1279,76297
9425,76309
5923,76311
14499,76323
8737,76325
15335,76333
1873,76335
15153,76339
14801,14919
5177,76351
8861,76353
4891,76355
6259,76377
4809,174171
2769,174175
15309,76427
18023,76427
16585,76429
863,111143
13487,111211
13487,111213
8161,111387
7849,111495
449,111603
449,111609
15175,111611
5835,111935
5901,111961
2413,112005
891,112087
863,112319
863,112321
5123,112377
3051,112391
3051,112393
12627,112751
5241,112777
5241,112779
14801,76441
199,112805
2517,112831
4717,112853
4717,112865
4717,112867
4351,112869
957,112937
949,112947
949,112951
943,113001
153,113061
1527,113099
1395,113111
1395,113113
1395,113115
1395,113117
2237,113125
2237,113129
2237,113131
2785,113223
3499,113235
3499,113237
3799,113243
3799,113249
3799,113251
3799,113253
3799,113255
243,113289
243,113291
497,113297
497,113299
497,113305
497,113309
1671,113385
