geneId,geneName,numEntries
1908,EDN3,43
1786,DNMT1,43
125,ADH1B,42
26580,BSCL2,42
2176,FANCC,42
2688,GH1,42
6392,SDHD,42
6103,RPGR,42
7046,TGFBR1,42
5265,SERPINA1,41
51422,PRKAG2,41
5624,PROC,41
10644,IGF2BP2,41
4018,LPA,41
3257,HPS1,40
5354,PLP1,40
2157,F8,40
2146,EZH2,40
55054,ATG16L1,40
1950,EGF,40
1545,CYP1B1,40
1050,CEBPA,40
117531,TMC1,40
6696,SPP1,39
55636,CHD7,39
1571,CYP2E1,39
11093,ADAMTS13,39
2138,EYA1,39
2717,GLA,39
5318,PKP2,39
114548,NLRP3,39
4854,NOTCH3,39
5172,SLC26A4,39
3480,IGF1R,39
3558,IL2,39
3664,IRF6,39
3565,IL4,39
4595,MUTYH,39
4613,MYCN,39
54903,MKS1,39
25974,MMACHC,38
4312,MMP1,38
1130,LYST,38
6389,SDHA,38
6285,S100B,38
9381,OTOF,38
2312,FLG,38
217,ALDH2,38
613,BCR,38
859,CAV3,38
1815,DRD4,38
1806,DPYD,38
79577,CDC73,38
1268,CNR1,38
7045,TGFBI,38
121278,TPH2,38
10318,TNIP1,37
1281,COL3A1,37
6792,CDKL5,37
1834,DSPP,37
875,CBS,37
215,ABCD1,37
116519,APOA5,37
445,ASS1,37
201163,FLCN,37
64324,NSD1,37
5350,PLN,37
51750,RTEL1,37
4193,MDM2,37
3239,HOXD13,37
3861,KRT14,37
8517,IKBKG,36
9401,RECQL4,36
5914,RARA,36
5308,PITX2,36
9971,NR1H4,36
2719,GPC3,36
387715,ARMS2,36
841,CASP8,36
1139,CHRNA7,36
1191,CLU,36
6834,SURF1,36
7297,TYK2,36
7291,TWIST1,35
203228,C9orf72,35
478,ATP1A3,35
546,ATRX,35
551,AVP,35
554,AVPR2,35
9429,ABCG2,35
58,ACTA1,35
2643,GCH1,35
2395,FXN,35
2131,EXT1,35
4842,NOS1,35
10,NAT2,35
5159,PDGFRB,35
860,RUNX2,35
6336,SCN10A,35
3350,HTR1A,35
3827,KNG1,35
4487,MSX1,35
4210,MEFV,34
3339,HSPG2,34
6338,SCNN1B,34
10743,RAI1,34
5741,PTH,34
5189,PEX1,34
5371,PML,34
2006,ELN,34
2078,ERG,34
2571,GAD1,34
2218,FKTN,34
2720,GLB1,34
70,ACTC1,34
5244,ABCB4,34
288,ANK3,34
7507,XPA,34
6683,SPAST,34
7132,TNFRSF1A,33
1200,TPP1,33
7068,THRB,33
326,AIRE,33
477,ATP1A2,33
836,CASP3,33
1387,CREBBP,33
1409,CRYAA,33
1385,CREB1,33
84062,DTNBP1,33
2321,FLT1,33
2243,FGA,33
2072,ERCC4,33
2161,F12,33
5465,PPARA,33
4853,NOTCH2,33
5631,PRPS1,33
10806,SDCCAG8,33
710,SERPING1,32
8481,OFD1,32
8398,PLA2G6,32
3651,PDX1,32
3674,ITGA2B,32
3852,KRT5,32
2120,ETV6,32
5167,ENPP1,32
2296,FOXC1,32
2626,GATA4,32
8291,DYSF,32
1593,CYP27A1,32
1536,CYBB,32
894,CCND2,32
549,AUH,32
23621,BACE1,32
7168,TPM1,32
7442,TRPV1,32
6654,SOS1,32
6863,TAC1,32
25861,WHRN,32
23435,TARDBP,31
23400,ATP13A2,31
641,BLM,31
153,ADRB1,31
1244,ABCC2,31
1026,CDKN1A,31
1565,CYP2D6,31
169792,GLIS3,31
2705,GJB1,31
2903,GRIN2A,31
2904,GRIN2B,31
148738,HJV,31
2566,GABRG2,31
2212,FCGR2A,31
2067,ERCC1,31
3920,LAMP2,31
3848,KRT1,31
3251,HPRT1,31
7827,NPHS2,31
4722,NDUFS3,31
6528,SLC5A5,31
6584,SLC22A5,30
9997,SCO2,30
23322,RPGRIP1L,30
4724,NDUFS4,30
5819,NECTIN2,30
4868,NPHS1,30
4915,NTRK2,30
10084,PQBP1,30
8842,PROM1,30
10320,IKZF1,30
182,JAG1,30
3575,IL7R,30
3753,KCNE1,30
3759,KCNJ2,30
4010,LMX1B,30
9968,MED12,30
5605,MAP2K2,30
4255,MGMT,30
3115,HLA-DPB1,30
1785,DNM2,30
1301,COL11A1,30
6597,SMARCA4,30
54209,TREM2,30
7547,ZIC3,30
124590,USH1G,29
7012,TERC,29
23345,SYNE1,29
1959,EGR2,29
1535,CYBA,29
267012,DAOA,29
10060,ABCC9,29
111,ADCY5,29
5832,ALDH18A1,29
60468,BACH2,29
9531,BAG3,29
4485,MST1,29
3785,KCNQ2,29
3593,IL12B,29
5617,PRL,29
4306,NR3C2,29
9241,NOG,29
4780,NFE2L2,29
5664,PSEN2,29
5889,RAD51C,29
57167,SALL4,29
6041,RNASEL,28
27031,NPHP3,28
10133,OPTN,28
5340,PLG,28
64135,IFIH1,28
4594,MMUT,28
332,BIRC5,28
640,BLK,28
57545,CC2D2A,28
26154,ABCA12,28
27232,GNMT,28
2065,ERBB3,28
2235,FECH,28
2318,FLNC,28
2593,GAMT,28
6772,STAT1,28
7051,TGM1,28
7508,XPC,28
7486,WRN,28
7399,USH2A,27
7337,UBE3A,27
6607,SMN2,27
27086,FOXP1,27
51752,ERAP1,27
4072,EPCAM,27
2155,F7,27
2184,FAH,27
2177,FANCD2,27
26585,GREM1,27
2703,GJA8,27
10157,AASS,27
23600,AMACR,27
652,BMP4,27
657,BMPR1A,27
6310,ATXN1,27
1543,CYP1A1,27
1639,DCTN1,27
1298,COL9A2,27
1180,CLCN1,27
1184,CLCN5,27
1373,CPS1,27
4157,MC1R,27
3295,HSD17B4,27
3358,HTR2C,27
3909,LAMA3,27
80339,PNPLA3,27
55624,POMGNT1,27
29954,POMT2,27
5076,PAX2,27
5190,PEX6,27
4867,NPHP1,27
2516,NR5A1,27
7080,NKX2-1,27
4728,NDUFS8,27
23218,NBEAL2,27
5644,PRSS1,27
6495,SIX1,27
56606,SLC2A9,27
85358,SHANK3,26
6197,RPS6KA3,26
5745,PTH1R,26
5191,PEX7,26
221692,PHACTR1,26
5295,PIK3R1,26
3908,LAMA2,26
10855,HPSE,26
345611,IRGM,26
1356,CP,26
1352,COX10,26
1394,CRHR1,26
958,CD40,26
629,CFB,26
23405,DICER1,26
1075,CTSC,26
695,BTK,26
783,CACNB2,26
410,ARSA,26
2348,FOLR1,26
2289,FKBP5,26
2272,FHIT,26
6657,SOX2,26
57728,WDR19,26
463,ZFHX3,26
7450,VWF,25
8878,SQSTM1,25
26277,TINF2,25
7166,TPH1,25
9896,FIG4,25
2189,FANCG,25
2158,F9,25
2132,EXT2,25
54332,GDAP1,25
2668,GDNF,25
2815,GP9,25
2812,GP1BB,25
79158,GNPTAB,25
3074,HEXB,25
2937,GSS,25
443,ASPA,25
8647,ABCB11,25
585,BBS4,25
1909,EDNRA,25
1760,DMPK,25
1136,CHRNA3,25
1355,COX15,25
1376,CPT2,25
26047,CNTNAP2,25
221895,JAZF1,25
3606,IL18,25
3486,IGFBP3,25
3930,LBR,25
4629,MYH11,25
9927,MFN2,25
27030,MLH3,25
4719,NDUFS1,25
4986,OPRK1,25
5053,PAH,25
112476,PRRT2,25
6391,SDHC,25
51151,SLC45A2,25
83959,SLC4A11,24
6530,SLC6A2,24
30061,SLC40A1,24
6519,SLC3A1,24
5771,PTPN2,24
5744,PTHLH,24
5027,P2RX7,24
25836,NIPBL,24
4855,NOTCH4,24
5830,PEX5,24
5339,PLEC,24
5538,PPT1,24
4633,MYL2,24
4353,MPO,24
1287,COL4A5,24
1410,CRYAB,24
1441,CSF3R,24
64478,CSMD1,24
1497,CTNS,24
845,CASQ2,24
64170,CARD9,24
825,CAPN3,24
59,ACTA2,24
23746,AIPL1,24
9131,AIFM1,24
174,AFP,24
440,ASNS,24
84159,ARID5B,24
3060,HCRT,24
50943,FOXP3,24
6948,TCN2,24
80208,SPG11,24
7038,TG,23
7134,TNNC1,23
7173,TPO,23
9839,ZEB2,23
57539,WDR35,23
2539,G6PD,23
2335,FN1,23
132884,EVC2,23
26762,HAVCR1,23
3155,HMGCL,23
2776,GNAQ,23
392255,GDF6,23
2639,GCDH,23
2736,GLI2,23
335,APOA1,23
177,AGER,23
64241,ABCG8,23
26090,ABHD12,23
867,CBL,23
659,BMPR2,23
8048,CSRP3,23
1736,DKC1,23
1286,COL4A4,23
7401,CLRN1,23
54982,CLN6,23
3918,LAMC2,23
3914,LAMB3,23
3291,HSD11B2,23
374654,KIF7,23
3691,ITGB4,23
56623,INPP5E,23
10585,POMT1,23
5192,PEX10,23
255738,PCSK9,23
4803,NGF,23
4988,OPRM1,23
5660,PSAP,23
11186,RASSF1,23
57096,RPGRIP1,23
10019,SH2B3,23
6334,SCN8A,23
5054,SERPINE1,23
6326,SCN2A,22
6496,SIX3,22
1836,SLC26A2,22
4942,OAT,22
9378,NRXN1,22
4693,NDP,22
4864,NPC1,22
1728,NQO1,22
5828,PEX2,22
5314,PKHD1,22
5429,POLH,22
7403,KDM6A,22
3897,L1CAM,22
3990,LIPC,22
3934,LCN2,22
4634,MYL3,22
5594,MAPK1,22
2055,CLN8,22
81037,CLPTM1L,22
1406,CRX,22
23418,CRB1,22
1137,CHRNA4,22
7439,BEST1,22
71,ACTG1,22
84059,ADGRV1,22
8546,AP3B1,22
2632,GBE1,22
2627,GATA6,22
2767,GNA11,22
3082,HGF,22
1161,ERCC8,22
2304,FOXE1,22
10382,TUBB4A,22
7369,UMOD,22
7113,TMPRSS2,22
6662,SOX9,22
10083,USH1C,21
22891,ZNF365,21
10269,ZMPSTE24,21
2317,FLNB,21
383,ARG1,21
208,AKT2,21
176,ACAN,21
582,BBS1,21
796,CALCA,21
100048912,CDKN2B-AS1,21
1605,DAG1,21
1729,DIAPH1,21
1644,DDC,21
8216,LZTR1,21
4340,MOG,21
10232,MSLN,21
84634,KISS1R,21
55806,HR,21
10891,PPARGC1A,21
55670,PEX26,21
5173,PDYN,21
4824,NKX3-1,21
4703,NEB,21
4968,OGG1,21
23569,PADI4,21
6559,SLC12A3,21
51119,SBDS,21
5888,RAD51,21
5805,PTS,21
6223,RPS19,20
6017,RLBP1,20
25939,SAMHD1,20
462,SERPINC1,20
6444,SGCD,20
11136,SLC7A9,20
4914,NTRK1,20
4704,NDUFA9,20
8202,NCOA3,20
9409,PEX16,20
8929,PHOX2B,20
5144,PDE4D,20
5158,PDE6B,20
9173,IL1RL1,20
3667,IRS1,20
9215,LARGE1,20
8379,MAD1L1,20
9227,LRAT,20
4143,MAT1A,20
1471,CST3,20
1491,CTH,20
60528,ELAC2,20
1028,CDKN1C,20
729920,CRPPA,20
51062,ATL1,20
7809,BSND,20
35,ACADS,20
210,ALAD,20
196,AHR,20
103,ADAR,20
2301,FOXE3,20
93986,FOXP2,20
2073,ERCC5,20
2110,ETFDH,20
2121,EVC,20
3040,HBA2,20
2752,GLUL,20
51741,WWOX,20
7431,VIM,20
7036,TFR2,20
8600,TNFSF11,20
7169,TPM2,20
7153,TOP2A,20
7042,TGFB2,19
6714,SRC,19
6609,SMPD1,19
6611,SMS,19
412,STS,19
50945,TBX22,19
57165,GJC2,19
2875,GPT,19
2159,F10,19
2066,ERBB4,19
6785,ELOVL4,19
55572,FOXRED1,19
2273,FHL1,19
8074,FGF23,19
2248,FGF3,19
37,ACADVL,19
60,ACTB,19
427,ASAH1,19
26258,BLOC1S6,19
4287,ATXN3,19
